Wavelength,Flux,BestFit,SkyFlux
3566.974,16.957,15.672,0.000
3567.796,16.955,15.650,0.000
3568.617,16.954,15.627,0.000
3569.439,16.952,15.611,0.000
3570.261,16.951,15.609,0.000
3571.083,16.950,15.622,0.000
3571.906,16.948,15.645,0.000
3572.728,16.947,15.674,0.000
3573.551,16.945,15.703,0.000
3574.374,16.944,15.721,0.000
3575.197,16.943,15.724,0.000
3576.021,16.941,15.719,0.000
3576.844,16.940,15.717,0.000
3577.668,16.939,15.717,0.000
3578.492,16.937,15.708,0.000
3579.316,16.936,15.679,0.000
3580.140,16.934,15.622,0.000
3580.964,16.933,15.544,0.000
3581.789,16.932,15.463,0.000
3582.614,16.930,15.392,0.000
3583.439,16.929,15.338,0.000
3584.264,16.928,15.309,0.000
3585.089,16.926,15.314,0.000
3585.915,16.925,15.356,0.000
3586.741,16.924,15.422,0.000
3587.567,16.922,15.489,0.000
3588.393,16.921,15.539,0.000
3589.219,16.920,15.571,0.000
3590.046,16.918,15.602,4.494
3590.873,16.917,15.634,5.410
3591.700,15.707,15.664,5.787
3592.527,16.297,15.693,6.174
3593.354,18.722,15.725,6.486
3594.181,15.766,15.753,6.713
3595.009,8.298,15.768,6.585
3595.837,17.352,15.769,6.965
3596.665,12.844,15.757,7.090
3597.493,8.538,15.730,6.958
3598.322,14.106,15.683,6.950
3599.150,20.239,15.617,6.810
3599.979,16.068,15.543,6.646
3600.808,22.415,15.480,6.456
3601.638,19.880,15.435,6.198
3602.467,14.963,15.409,5.739
3603.297,13.200,15.399,5.304
3604.126,15.352,15.401,5.124
3604.956,17.882,15.403,4.819
3605.786,12.225,15.392,4.481
3606.617,14.021,15.369,4.106
3607.447,14.692,15.339,4.094
3608.278,18.003,15.308,4.234
3609.109,21.750,15.282,4.369
3609.940,14.309,15.268,4.740
3610.771,10.504,15.271,5.051
3611.603,15.381,15.286,5.293
3612.435,14.790,15.304,5.290
3613.267,13.182,15.314,5.219
3614.099,17.606,15.313,5.568
3614.931,22.389,15.299,6.605
3615.763,18.516,15.274,8.464
3616.596,12.319,15.247,10.818
3617.429,12.558,15.226,12.539
3618.262,17.999,15.224,12.647
3619.095,19.986,15.244,11.749
3619.929,13.988,15.280,10.965
3620.762,14.264,15.324,10.544
3621.596,16.909,15.367,10.245
3622.430,12.219,15.408,10.369
3623.264,10.719,15.444,10.349
3624.099,13.829,15.462,9.541
3624.933,9.736,15.450,8.746
3625.768,15.888,15.400,8.673
3626.603,15.112,15.319,9.460
3627.438,14.933,15.222,9.850
3628.273,16.365,15.128,9.790
3629.109,15.827,15.060,10.011
3629.945,13.911,15.033,11.186
3630.781,15.177,15.051,12.883
3631.617,15.554,15.103,13.979
3632.453,15.598,15.170,14.397
3633.289,14.482,15.230,15.393
3634.126,12.784,15.271,15.716
3634.963,12.369,15.288,16.308
3635.800,9.900,15.280,17.039
3636.637,12.083,15.250,17.115
3637.475,17.754,15.205,17.120
3638.313,20.139,15.155,16.778
3639.150,19.303,15.103,14.894
3639.988,20.544,15.052,14.027
3640.827,14.498,15.015,14.163
3641.665,12.219,14.996,14.570
3642.504,15.562,14.987,14.475
3643.343,16.365,14.981,13.547
3644.182,12.436,14.977,12.587
3645.021,10.448,14.972,12.320
3645.860,7.727,14.967,12.426
3646.700,13.357,14.964,12.566
3647.539,18.394,14.970,11.280
3648.379,19.865,14.985,10.390
3649.220,17.392,15.010,12.162
3650.060,13.136,15.040,15.276
3650.901,22.395,15.069,16.671
3651.741,23.488,15.096,14.376
3652.582,18.568,15.116,11.211
3653.423,18.461,15.125,9.838
3654.265,22.316,15.120,10.660
3655.106,19.053,15.102,12.013
3655.948,16.770,15.075,11.330
3656.790,18.268,15.045,9.850
3657.632,18.996,15.017,9.062
3658.474,17.368,14.992,9.724
3659.317,18.085,14.970,10.791
3660.159,24.307,14.950,11.192
3661.002,21.062,14.939,11.006
3661.845,12.640,14.938,10.114
3662.689,11.781,14.937,9.716
3663.532,15.150,14.930,10.820
3664.376,14.524,14.916,11.448
3665.220,11.545,14.904,10.630
3666.064,17.557,14.898,9.864
3666.908,17.443,14.891,9.110
3667.752,15.316,14.878,8.015
3668.597,14.097,14.864,7.227
3669.442,14.693,14.854,6.845
3670.287,16.914,14.846,6.677
3671.132,13.959,14.826,6.645
3671.977,15.251,14.787,7.073
3672.823,20.121,14.733,7.220
3673.669,19.611,14.672,7.064
3674.515,14.214,14.615,6.691
3675.361,14.553,14.570,6.286
3676.207,13.965,14.536,5.661
3677.054,23.431,14.516,4.864
3677.901,17.614,14.511,4.530
3678.748,13.609,14.516,4.888
3679.595,20.613,14.512,5.705
3680.442,14.842,14.485,5.624
3681.290,13.729,14.440,5.245
3682.137,12.867,14.394,4.926
3682.985,13.412,14.370,4.990
3683.834,14.669,14.376,5.497
3684.682,14.271,14.399,5.760
3685.530,11.871,14.426,5.496
3686.379,11.553,14.453,5.200
3687.228,12.305,14.482,5.001
3688.077,15.100,14.513,5.080
3688.926,17.319,14.540,5.174
3689.776,17.787,14.556,5.316
3690.626,17.878,14.557,5.840
3691.476,13.376,14.536,5.819
3692.326,13.954,14.502,5.583
3693.176,13.590,14.473,5.601
3694.026,14.470,14.467,5.587
3694.877,17.624,14.493,5.761
3695.728,16.429,14.544,5.845
3696.579,14.113,14.595,5.971
3697.430,16.104,14.617,6.623
3698.282,17.246,14.583,8.648
3699.133,17.263,14.488,10.733
3699.985,17.570,14.349,11.722
3700.837,16.756,14.208,11.797
3701.690,14.806,14.110,11.174
3702.542,13.042,14.090,11.275
3703.395,14.028,14.145,11.444
3704.248,13.938,14.236,11.872
3705.101,13.320,14.304,11.178
3705.954,17.892,14.305,10.789
3706.807,16.552,14.236,9.802
3707.661,11.460,14.134,9.062
3708.515,15.697,14.046,9.113
3709.369,18.714,14.012,8.371
3710.223,14.153,14.066,8.651
3711.077,14.382,14.222,8.935
3711.932,12.281,14.452,8.862
3712.787,11.775,14.693,8.569
3713.642,11.161,14.871,8.831
3714.497,13.739,14.928,8.901
3715.352,17.062,14.844,8.510
3716.208,13.104,14.637,7.984
3717.064,15.229,14.358,7.316
3717.920,15.643,14.082,6.594
3718.776,15.442,13.884,6.424
3719.632,14.010,13.819,6.164
3720.489,11.901,13.900,5.549
3721.346,12.582,14.099,5.206
3722.203,12.680,14.362,5.109
3723.060,10.957,14.636,5.722
3723.917,13.852,14.871,5.762
3724.775,16.120,15.022,5.325
3725.632,14.956,15.071,5.278
3726.490,16.642,15.020,5.661
3727.348,14.161,14.869,5.717
3728.207,16.149,14.620,6.013
3729.065,16.356,14.295,6.799
3729.924,14.596,13.945,7.158
3730.783,13.223,13.638,7.559
3731.642,11.993,13.436,9.156
3732.502,14.844,13.383,11.792
3733.361,13.817,13.493,12.979
3734.221,13.234,13.746,13.230
3735.081,14.517,14.088,12.441
3735.941,15.506,14.444,12.244
3736.801,15.006,14.755,12.249
3737.662,15.444,14.984,12.868
3738.523,19.134,15.118,14.188
3739.383,18.555,15.150,15.601
3740.245,15.943,15.089,16.342
3741.106,14.775,14.950,15.717
3741.967,12.995,14.747,14.534
3742.829,14.971,14.485,14.079
3743.691,14.078,14.174,14.092
3744.553,12.781,13.836,12.417
3745.415,14.076,13.519,10.721
3746.278,16.149,13.277,10.692
3747.141,14.489,13.156,11.692
3748.004,12.857,13.182,11.346
3748.867,12.688,13.354,9.293
3749.730,14.038,13.645,8.393
3750.594,14.666,14.003,9.622
3751.457,14.530,14.356,10.915
3752.321,15.852,14.644,9.580
3753.185,13.709,14.838,7.653
3754.050,13.047,14.941,8.054
3754.914,15.643,14.975,9.766
3755.779,16.180,14.967,10.734
3756.644,13.728,14.949,10.122
3757.509,14.225,14.944,8.075
3758.374,11.163,14.959,7.372
3759.240,14.842,14.971,7.614
3760.105,14.561,14.951,8.121
3760.971,14.032,14.879,8.172
3761.837,16.465,14.750,7.261
3762.704,13.910,14.561,6.408
3763.570,16.991,14.304,6.038
3764.437,15.415,13.991,6.042
3765.304,15.206,13.656,7.116
3766.171,15.128,13.350,7.685
3767.038,13.044,13.120,6.961
3767.905,13.645,13.002,6.426
3768.773,14.673,13.011,6.113
3769.641,11.975,13.145,5.290
3770.509,13.994,13.384,5.656
3771.377,17.825,13.694,6.771
3772.246,17.429,14.030,8.124
3773.115,14.803,14.351,8.971
3773.984,12.748,14.642,8.496
3774.853,15.163,14.904,8.076
3775.722,15.041,15.139,8.412
3776.591,13.948,15.340,8.715
3777.461,15.619,15.498,8.764
3778.331,16.848,15.611,9.135
3779.201,14.619,15.682,8.380
3780.071,15.085,15.706,7.289
3780.942,15.792,15.680,6.990
3781.813,16.109,15.607,6.642
3782.683,16.795,15.505,6.341
3783.555,16.565,15.388,6.407
